captain_id;Begin Date;Begin Time;End Date;End Time;Code
3;31.05.25 00:00;2200;01.06.25 00:00;2200;O_U
8;31.05.25 00:00;2200;01.06.25 00:00;2200;O_L
8;04.06.25 00:00;2200;05.06.25 00:00;2200;U
8;05.06.25 00:00;2200;06.06.25 00:00;2200;U
8;06.06.25 00:00;2200;07.06.25 00:00;2200;SU
8;07.06.25 00:00;2200;08.06.25 00:00;2200;SU
8;26.06.25 00:00;2200;27.06.25 00:00;2200;O_M
8;27.06.25 00:00;2200;28.06.25 00:00;2200;O_M
8;28.06.25 00:00;2200;29.06.25 00:00;2200;O_M
8;29.06.25 00:00;2200;30.06.25 00:00;2200;O_M
9;22.06.25 00:00;2200;23.06.25 00:00;2200;O_M
10;06.06.25 00:00;2200;07.06.25 00:00;2200;O_U
10;07.06.25 00:00;2200;08.06.25 00:00;2200;U
10;08.06.25 00:00;2200;09.06.25 00:00;2200;U
10;09.06.25 00:00;2200;10.06.25 00:00;2200;U
10;10.06.25 00:00;2200;11.06.25 00:00;2200;U
10;11.06.25 00:00;2200;12.06.25 00:00;2200;U
10;12.06.25 00:00;2200;13.06.25 00:00;2200;U
10;13.06.25 00:00;2200;14.06.25 00:00;2200;U
10;14.06.25 00:00;2200;15.06.25 00:00;2200;U
10;15.06.25 00:00;2200;16.06.25 00:00;2200;U
10;16.06.25 00:00;2200;17.06.25 00:00;2200;U
10;17.06.25 00:00;2200;18.06.25 00:00;2200;U
10;18.06.25 00:00;2200;19.06.25 00:00;2200;U
10;19.06.25 00:00;2200;20.06.25 00:00;2200;U
10;20.06.25 00:00;2200;21.06.25 00:00;2200;U
10;21.06.25 00:00;2200;22.06.25 00:00;2200;O_U
10;22.06.25 00:00;2200;23.06.25 00:00;2200;O_M
10;23.06.25 00:00;2200;24.06.25 00:00;2200;O_M
11;31.05.25 00:00;2200;01.06.25 00:00;2200;U
11;01.06.25 00:00;2200;02.06.25 00:00;2200;U
11;02.06.25 00:00;2200;03.06.25 00:00;2200;U
11;03.06.25 00:00;2200;04.06.25 00:00;2200;U
11;04.06.25 00:00;2200;05.06.25 00:00;2200;O_U
11;05.06.25 00:00;2200;06.06.25 00:00;2200;O_TZ
11;06.06.25 00:00;2200;07.06.25 00:00;2200;O_TZ
11;17.06.25 00:00;2200;18.06.25 00:00;2200;O_M
11;18.06.25 00:00;2200;19.06.25 00:00;2200;O_M
11;19.06.25 00:00;2200;20.06.25 00:00;2200;O_M
11;28.06.25 00:00;2200;29.06.25 00:00;2200;U
12;20.06.25 00:00;2200;21.06.25 00:00;2200;O_L
12;21.06.25 00:00;2200;22.06.25 00:00;2200;O_L
12;22.06.25 00:00;2200;23.06.25 00:00;2200;O_M
12;23.06.25 00:00;2200;24.06.25 00:00;2200;O_M
14;13.06.25 00:00;2200;14.06.25 00:00;2200;O_M
14;14.06.25 00:00;2200;15.06.25 00:00;2200;O_M
14;15.06.25 00:00;2200;16.06.25 00:00;2200;O_M
14;16.06.25 00:00;2200;17.06.25 00:00;2200;O_M
14;20.06.25 00:00;2200;21.06.25 00:00;2200;O_U
14;21.06.25 00:00;2200;22.06.25 00:00;2200;U
14;22.06.25 00:00;2200;23.06.25 00:00;2200;U
14;23.06.25 00:00;2200;24.06.25 00:00;2200;U
14;24.06.25 00:00;2200;25.06.25 00:00;2200;U
14;25.06.25 00:00;2200;26.06.25 00:00;2200;U
14;26.06.25 00:00;2200;27.06.25 00:00;2200;U
14;27.06.25 00:00;2200;28.06.25 00:00;2200;U
14;28.06.25 00:00;2200;29.06.25 00:00;2200;U
14;29.06.25 00:00;2200;30.06.25 00:00;2200;U
14;30.06.25 00:00;2200;01.07.25 00:00;2200;U
15;31.05.25 00:00;2200;01.06.25 00:00;2200;O_L
15;01.06.25 00:00;2200;02.06.25 00:00;2200;O_M
15;02.06.25 00:00;2200;03.06.25 00:00;2200;O_M
15;13.06.25 00:00;2200;14.06.25 00:00;2200;O_L
16;04.06.25 00:00;2200;05.06.25 00:00;2200;U
16;05.06.25 00:00;2200;06.06.25 00:00;2200;U
16;06.06.25 00:00;2200;07.06.25 00:00;2200;O_U
16;07.06.25 00:00;2200;08.06.25 00:00;2200;U
16;08.06.25 00:00;2200;09.06.25 00:00;2200;U
16;09.06.25 00:00;2200;10.06.25 00:00;2200;U
16;10.06.25 00:00;2200;11.06.25 00:00;2200;U
16;11.06.25 00:00;2200;12.06.25 00:00;2200;U
16;12.06.25 00:00;2200;13.06.25 00:00;2200;U
16;13.06.25 00:00;2200;14.06.25 00:00;2200;U
16;14.06.25 00:00;2200;15.06.25 00:00;2200;O_U
16;15.06.25 00:00;2300;16.06.25 00:00;2300;O_TZ
16;16.06.25 00:00;2300;17.06.25 00:00;2300;O_TZ
