pairing_id,covered_legs,total_cost,duty_itineraries
duty_seed_83,"[3504676739, 3504676740]",252.5,['HAM ➔ VIE ➔ HAM']
duty_seed_84,"[3504676922, 3504676925]",252.5,['DUS ➔ GRZ ➔ DUS']
duty_seed_85,"[3505309548, 3505309549]",252.5,['HAM ➔ VIE ➔ HAM']
duty_seed_86,"[3505310251, 3505310252]",252.5,['HAM ➔ VIE ➔ HAM']
duty_seed_87,"[3505310006, 3505310007]",252.5,['CGN ➔ VCE ➔ CGN']
duty_seed_88,"[3505311025, 3505311026]",252.5,['HAM ➔ VIE ➔ HAM']
duty_seed_89,"[3505310774, 3505310775]",252.5,['CGN ➔ VCE ➔ CGN']
duty_seed_98,[3504658119],255.0,['DUS ➔ HAM']
duty_seed_104,[3504676807],255.0,['DUS ➔ HAM']
duty_seed_111,"[3504619352, 3504619353]",257.5,['DUS ➔ MAN ➔ DUS']
duty_seed_112,"[3504619474, 3504619475]",257.5,['DUS ➔ MXP ➔ DUS']
duty_seed_113,"[3504638139, 3504638140]",257.5,['CGN ➔ VIE ➔ CGN']
duty_seed_114,"[3504638700, 3504638701]",257.5,['DUS ➔ MAN ➔ DUS']
duty_seed_115,"[3504638822, 3504638823]",257.5,['DUS ➔ MXP ➔ DUS']
duty_seed_116,"[3504638141, 3504638142]",257.5,['CGN ➔ VIE ➔ CGN']
duty_seed_117,"[3504638826, 3504638827]",257.5,['DUS ➔ MXP ➔ DUS']
duty_seed_118,"[3504638704, 3504638705]",257.5,['DUS ➔ MAN ➔ DUS']
duty_seed_119,"[3504658153, 3504658154]",257.5,['DUS ➔ MAN ➔ DUS']
duty_seed_120,"[3504658259, 3504658260]",257.5,['DUS ➔ MXP ➔ DUS']
duty_seed_121,"[3504657624, 3504657625]",257.5,['CGN ➔ VIE ➔ CGN']
duty_seed_122,"[3504657626, 3504657627]",257.5,['CGN ➔ VIE ➔ CGN']
duty_seed_123,"[3504658263, 3504658264]",257.5,['DUS ➔ MXP ➔ DUS']
duty_seed_124,"[3504658155, 3504658156]",257.5,['DUS ➔ MAN ➔ DUS']
duty_seed_125,"[3504676250, 3504676252]",257.5,['CGN ➔ VIE ➔ CGN']
duty_seed_126,"[3504676838, 3504676839]",257.5,['DUS ➔ MAN ➔ DUS']
duty_seed_127,"[3504676956, 3504676957]",257.5,['DUS ➔ MXP ➔ DUS']
duty_seed_128,"[3504676253, 3504676254]",257.5,['CGN ➔ VIE ➔ CGN']
duty_seed_129,"[3504676960, 3504676961]",257.5,['DUS ➔ MXP ➔ DUS']
duty_seed_130,"[3504676842, 3504676843]",257.5,['DUS ➔ MAN ➔ DUS']
duty_seed_131,"[3505309623, 3505309624]",257.5,['DUS ➔ MAN ➔ DUS']
duty_seed_132,"[3505309743, 3505309744]",257.5,['DUS ➔ MXP ➔ DUS']
duty_seed_133,"[3505310330, 3505310331]",257.5,['DUS ➔ MAN ➔ DUS']
duty_seed_134,"[3505310002, 3505310003]",257.5,['CGN ➔ VIE ➔ CGN']
